Team,Division,W,L,PCT,GB,Streak,L10,Home,Away,vs .500+
Rays,AL East,76,50,0.603,-,W1,W6-L4,W43-L22,W33-L28,W25-L24
Yankees,AL East,71,55,0.563,5.0,W3,W6-L4,W31-L27,W40-L28,W23-L26
Red Sox,AL East,68,59,0.535,8.5,L1,W4-L6,W31-L32,W37-L27,W30-L25
Blue Jays,AL East,62,66,0.484,15.0,L1,W6-L4,W33-L33,W29-L33,W34-L43
Orioles,AL East,61,66,0.48,15.5,L3,W5-L5,W32-L32,W29-L34,W30-L31
White Sox,AL Central,66,60,0.524,-,W1,W6-L4,W37-L24,W29-L36,W19-L29
Twins,AL Central,63,65,0.492,4.0,W3,W5-L5,W35-L31,W28-L34,W27-L28
Guardians,AL Central,61,66,0.48,5.5,L1,W3-L7,W30-L34,W31-L32,W24-L34
Tigers,AL Central,61,66,0.48,5.5,L2,W4-L6,W32-L31,W29-L35,W27-L29
Royals,AL Central,54,74,0.422,13.0,W4,W5-L5,W32-L30,W22-L44,W16-L37
Astros,AL West,64,63,0.504,-,W1,W4-L6,W32-L32,W32-L31,W19-L14
Rangers,AL West,62,65,0.488,2.0,L1,W3-L7,W33-L28,W29-L37,W22-L30
Mariners,AL West,60,67,0.472,4.0,W1,W4-L6,W33-L29,W27-L38,W26-L29
Angels,AL West,50,77,0.394,14.0,L1,W5-L5,W29-L36,W21-L41,W21-L37
Athletics,AL West,49,78,0.386,15.0,L3,W3-L7,W23-L40,W26-L38,W20-L35
Braves,NL East,74,53,0.583,-,L3,W4-L6,W42-L23,W32-L30,W32-L24
Phillies,NL East,70,58,0.547,4.5,W6,W8-L2,W35-L30,W35-L28,W26-L30
Marlins,NL East,64,64,0.5,10.5,L3,W5-L5,W38-L25,W26-L39,W23-L36
Nationals,NL East,61,67,0.477,13.5,W1,W4-L6,W27-L36,W34-L31,W28-L42
Mets,NL East,58,70,0.453,16.5,W1,W7-L3,W30-L35,W28-L35,W27-L45
Brewers,NL Central,78,49,0.614,-,L1,W5-L5,W42-L23,W36-L26,W41-L21
Cubs,NL Central,74,54,0.578,4.5,L1,W6-L4,W38-L27,W36-L27,W33-L26
Cardinals,NL Central,65,63,0.508,13.5,L1,W6-L4,W32-L34,W33-L29,W33-L34
Pirates,NL Central,63,66,0.488,16.0,W2,W5-L5,W34-L32,W29-L34,W30-L40
Reds,NL Central,61,66,0.48,17.0,W1,W5-L5,W32-L35,W29-L31,W26-L37
Dodgers,NL West,77,51,0.602,-,W3,W7-L3,W37-L26,W40-L25,W33-L33
Padres,NL West,68,60,0.531,9.0,L1,W7-L3,W37-L26,W31-L34,W28-L36
D-backs,NL West,67,61,0.523,10.0,W1,W5-L5,W36-L27,W31-L34,W27-L34
Giants,NL West,52,74,0.413,24.0,W1,W3-L7,W29-L33,W23-L41,W27-L41
Rockies,NL West,50,77,0.394,26.5,L3,W4-L6,W27-L35,W23-L42,W23-L52
